,Code,Date,YearDiff,Year,Type,Quantity,UnitPrice,TradeValue,Brokerage_GST,GST,TotalValue
0,CPT,2022-11-05 00:00:00.000000,0,2022,Sell,-400000,0.016,-6400.0,19.95,1.81,-6380.05
1,CPT,2020-09-25 00:00:00.000000,2,2020,Buy,16071,0.056,899.98,10.0,0.91,909.98
2,CPT,2020-09-28 00:00:00.000000,2,2020,Buy,17647,0.051,900.0,10.0,0.91,910.0
3,CPT,2020-10-28 00:00:00.000000,2,2020,Buy,19565,0.046,899.99,10.0,0.91,909.99
4,CPT,2020-11-02 00:00:00.000000,2,2020,Buy,24146,0.041,989.99,10.0,0.91,999.99
5,CPT,2020-11-13 00:00:00.000000,2,2020,Buy,25615,0.039,998.99,10.0,0.91,1008.99
6,CPT,2020-12-08 00:00:00.000000,2,2020,Buy,21717,0.046,998.98,10.0,0.91,1008.98
7,CPT,2020-12-14 00:00:00.000000,2,2020,Buy,42975,0.054,2320.65,19.95,1.81,2340.6
8,CPT,2020-12-14 00:00:00.000000,2,2020,Buy,51421,0.056,2879.58,19.95,1.81,2899.53
9,CPT,2020-12-22 00:00:00.000000,2,2020,Buy,50000,0.046,2300.0,19.95,1.81,2319.95
10,CPT,2021-03-16 00:00:00.000000,1,2021,Buy,21739,0.046,999.99,10.0,0.91,1009.99
11,CPT,2021-03-23 00:00:00.000000,1,2021,Buy,51627,0.044,2271.59,19.95,1.81,2291.54
12,CPT,2021-04-23 00:00:00.000000,1,2021,Buy,15277,0.036,549.97,10.0,0.91,559.97
13,CPT,2021-05-03 00:00:00.000000,1,2021,Buy,18965,0.028,531.02,10.0,0.91,541.02
14,CPT,2021-05-11 00:00:00.000000,1,2021,Buy,26000,0.025,650.0,10.0,0.91,660.0
15,CPT,2021-06-18 00:00:00.000000,1,2021,Buy,28333,0.024,679.99,10.0,0.91,689.99
16,DOU,2022-05-13 00:00:00.000000,0,2022,Sell,-54317,0.023,-1249.29,19.95,1.81,-1229.34
17,DOU,2020-10-16 00:00:00.000000,2,2020,Buy,3846,0.265,1019.19,19.95,1.81,1039.14
18,DOU,2020-10-19 00:00:00.000000,2,2020,Buy,3015,0.315,949.73,10.0,0.91,959.73
19,DOU,2020-10-27 00:00:00.000000,2,2020,Buy,2615,0.26,679.9,10.0,0.91,689.9
