index,Code,Date,Type,Typeord,Qty,SellQuantity,BuyQuantity,UnitPrice,Amount,ContractNote,Dtdifference,GainAmount,Expenses,Taxable_GainLoss,SubTotalExpenses,SubTotalGainAmount,SubTotalTaxable_GainLoss
0,CPT,2020-09-25,Totals,3,0,-400000,400000,0.0,0.0,0,0.0,0.0,0.0,0.0,209.3950438628289,-11833.496000000001,-11833.496000000001
1,CPT,2022-01-20,Buy,1,0,0,42200,0.029,1223.8,128798123,111.0,-548.6,13.31504386282897,-548.6,0.0,0.0,0.0
2,CPT,2021-04-23,Buy,1,0,0,15277,0.036,549.972,117394802,383.0,-305.53999999999996,10.91,-305.53999999999996,0.0,0.0,0.0
3,CPT,2021-03-23,Buy,1,0,0,51627,0.044,2271.5879999999997,116042022,414.0,-1445.5559999999998,21.759999999999994,-1445.5559999999998,0.0,0.0,0.0
4,CPT,2021-03-16,Buy,1,0,0,21739,0.046,999.994,115710095,421.0,-652.17,10.91,-652.17,0.0,0.0,0.0
5,CPT,2020-12-22,Buy,1,0,0,50000,0.046,2300.0,111002645,505.0,-1500.0,21.76,-1500.0,0.0,0.0,0.0
6,CPT,2020-12-14,Buy,1,0,0,42975,0.054,2320.65,110622084,513.0,-1633.05,21.759999999999998,-1633.05,0.0,0.0,0.0
7,CPT,2020-12-14,Buy,1,0,0,51421,0.056,2879.576,110621531,513.0,-2056.84,21.759999999999998,-2056.84,0.0,0.0,0.0
8,CPT,2020-12-08,Buy,1,0,0,21717,0.046,998.982,110275380,519.0,-651.51,10.91,-651.51,0.0,0.0,0.0
9,CPT,2020-11-13,Buy,1,0,0,25615,0.039,998.985,109150978,544.0,-589.145,10.91,-589.145,0.0,0.0,0.0
10,CPT,2020-11-02,Buy,1,0,0,24146,0.041,989.986,108552162,555.0,-603.65,10.91,-603.65,0.0,0.0,0.0
11,CPT,2020-10-28,Buy,1,0,0,19565,0.046,899.99,108371653,560.0,-586.9499999999999,10.91,-586.9499999999999,0.0,0.0,0.0
12,CPT,2020-09-28,Buy,1,0,0,17647,0.051,899.997,106812284,590.0,-617.645,10.91,-617.645,0.0,0.0,0.0
13,CPT,2020-09-25,Buy,1,0,0,16071,0.056,899.976,106759236,593.0,-642.84,10.91,-642.84,0.0,0.0,0.0
14,CPT,2022-05-11,Sell,0,0,-400000,0,0.016,-6400.0,133227316,0.0,0.0,21.759999999999998,0.0,0.0,0.0,0.0
15,CTM,2019-11-21,Totals,3,0,-18567,18567,0.0,0.0,0,0.0,0.0,0.0,0.0,47.85538768667417,17936.825,9098.7375
16,CTM,2021-05-18,Buy,1,0,0,802,0.685,549.37,118439082,202.0,260.65,10.91,260.65,0.0,0.0,0.0
17,CTM,2019-11-21,Buy,1,0,0,17765,0.015,266.47499999999997,93859983,746.0,17676.175,4.275387686674167,8838.0875,0.0,0.0,0.0
18,CTM,2021-12-06,Sell,0,0,-18567,0,1.01,-18752.670000000002,127310017,0.0,0.0,32.67,0.0,0.0,0.0,0.0
19,DOU,2022-01-25,Totals,3,0,-54317,54317,0.0,0.0,0,0.0,0.0,0.0,0.0,54.43,-1750.6280000000002,-1750.6280000000002
20,DOU,2022-01-25,Buy,1,0,0,19230,0.052,999.9599999999999,129145376,108.0,-557.67,10.91,-557.67,0.0,0.0,0.0
21,DOU,2022-01-25,Buy,1,0,0,35087,0.057,1999.959,129104653,108.0,-1192.958,21.759999999999998,-1192.958,0.0,0.0,0.0
22,DOU,2022-05-13,Sell,0,0,-54317,0,0.023,-1249.291,133326479,0.0,0.0,21.759999999999998,0.0,0.0,0.0,0.0
23,EPN,2022-01-04,Totals,3,-7769,-38183,30414,0.0,0.0,0,0.0,0.0,0.0,0.0,43.58,-1117.9420000000002,-1117.9420000000002
24,EPN,2022-02-22,Buy,1,0,0,16129,0.062,999.998,130198827,80.0,-532.2570000000001,10.91,-532.2570000000001,0.0,0.0,0.0
25,EPN,2022-01-04,Buy,1,0,0,14285,0.07,999.95,128100916,129.0,-585.6850000000002,10.91,-585.6850000000002,0.0,0.0,0.0
26,EPN,2022-05-13,Sell,0,0,-38183,0,0.029,-1107.307,133317429,0.0,0.0,21.759999999999998,0.0,0.0,0.0,0.0
27,GEAR,2020-03-23,Totals,3,0,-57,57,0.0,0.0,0,0.0,0.0,0.0,0.0,32.67,1003.77,501.885
28,GEAR,2020-03-23,Buy,1,0,0,57,10.01,570.5699999999999,97129582,623.0,1003.77,10.91,501.885,0.0,0.0,0.0
29,GEAR,2021-12-06,Sell,0,0,-57,0,27.62,-1574.3400000000001,127280201,0.0,0.0,21.759999999999998,0.0,0.0,0.0,0.0
30,GMR,2021-04-22,Totals,3,0,-142647,142647,0.0,0.0,0,0.0,0.0,0.0,0.0,113.01669999999999,1587.8200000000006,-126.25449999999955
31,GMR,2022-04-04,Buy,1,0,0,14492,0.069,999.9480000000001,131819308,39.0,-57.96800000000005,10.91,-57.96800000000005,0.0,0.0,0.0
32,GMR,2022-03-22,Buy,1,0,0,13513,0.074,999.962,131299002,52.0,-121.61699999999992,10.910000000000002,-121.61699999999992,0.0,0.0,0.0
33,GMR,2022-03-17,Buy,1,0,0,11494,0.081,931.014,131154427,57.0,-183.904,10.91,-183.904,0.0,0.0,0.0
34,GMR,2022-03-08,Buy,1,0,0,11111,0.09,999.99,130809218,66.0,-277.7749999999999,10.91,-277.7749999999999,0.0,0.0,0.0
35,GMR,2022-01-27,Buy,1,0,0,18181,0.11,1999.91,129255439,106.0,-818.145,21.759999999999998,-818.145,0.0,0.0,0.0
36,GMR,2021-12-14,Buy,1,0,0,9523,0.105,999.915,127589354,150.0,-380.91999999999996,10.91,-380.91999999999996,0.0,0.0,0.0
37,GMR,2021-04-30,Buy,1,0,0,18500,0.011,203.5,117662219,378.0,999.0000000000001,4.0367,499.50000000000006,0.0,0.0,0.0
38,GMR,2021-04-22,Buy,1,0,0,45833,0.012,549.996,117337393,386.0,2429.1490000000003,10.91,1214.5745000000002,0.0,0.0,0.0
39,GMR,2022-05-13,Sell,0,0,-142647,0,0.065,-9272.055,133311491,0.0,0.0,21.759999999999998,0.0,0.0,0.0,0.0
40,IOU,2021-02-02,Totals,3,0,-87514,87514,0.0,0.0,0,0.0,0.0,0.0,0.0,98.00999999999999,-3087.04,-3087.04
41,IOU,2022-06-28,Buy,1,0,0,43757,0.044,1925.308,134815757,1.0,-131.27099999999982,21.759999999999998,-131.27099999999982,0.0,0.0,0.0
42,IOU,2022-06-22,Buy,1,0,0,11956,0.046,549.976,134616131,7.0,-59.77999999999997,10.91,-59.77999999999997,0.0,0.0,0.0
43,IOU,2022-05-30,Buy,1,0,0,12345,0.081,999.945,133783349,30.0,-493.8,10.91,-493.8,0.0,0.0,0.0
44,IOU,2022-02-04,Buy,1,0,0,5263,0.19,999.97,129545762,145.0,-784.187,10.91,-784.187,0.0,0.0,0.0
45,IOU,2021-02-02,Buy,1,0,0,14193,0.155,2199.915,113022545,512.0,-1618.002,21.759999999999998,-1618.002,0.0,0.0,0.0
46,IOU,2022-06-29,Sell,0,0,-87514,0,0.041,-3588.074,134846572,0.0,0.0,21.759999999999998,0.0,0.0,0.0,0.0
47,JMS,2021-03-26,Totals,3,0,-28687,28687,0.0,0.0,0,0.0,0.0,0.0,0.0,65.74989812724942,-3155.5699999999997,-3155.5699999999997
48,JMS,2021-03-26,Buy,1,0,0,354,0.305,107.97,116231783,460.0,-38.94,0.4698981272494357,-38.94,0.0,0.0,0.0
49,JMS,2021-03-26,Buy,1,0,0,13000,0.305,3965.0,116233509,460.0,-1429.9999999999998,21.76,-1429.9999999999998,0.0,0.0,0.0
50,JMS,2021-03-26,Buy,1,0,0,15333,0.305,4676.565,116232819,460.0,-1686.6299999999999,21.759999999999998,-1686.6299999999999,0.0,0.0,0.0
51,JMS,2022-06-29,Sell,0,0,-28687,0,0.195,-5593.965,134845787,0.0,0.0,21.759999999999998,0.0,0.0,0.0,0.0
