Code,Company,Date,Type,Quantity,Unit Price ($),Trade Value ($),Brokerage+GST ($),GST ($),Contract Note,Total Value ($)
"4DS","4DS MEMORY LIMITED FPO (ORDINARY FULLY PAID)",20/07/2020,"Buy","11555","0.0450","519.9800","10.0000","0.9100","103232453","529.9800"
"ACB","A-CAP ENERGY LTD FPO (ORDINARY FULLY PAID)",25/03/2021,"Buy","30985","0.0710","2199.9400","19.9500","1.8100","116161740","2219.8900"
"ACB","A-CAP ENERGY LTD FPO (ORDINARY FULLY PAID)",29/03/2021,"Buy","16949","0.0590","999.9900","10.0000","0.9100","116256600","1009.9900"
"ADN","ANDROMEDA METALS LTD FPO (ORDINARY FULLY PAID)",22/03/2021,"Sell","-45277","0.3800","-17205.2600","29.9500","2.7200","115934297","-17175.3100"
"ADO","ANTEOTECH LTD FPO (ORDINARY FULLY PAID)",26/03/2021,"Sell","-80000","0.2550","-20400.0000","29.9500","2.7200","116228771","-20370.0500"
"AGL","AGL ENERGY LIMITED. FPO (ORDINARY FULLY PAID)",15/03/2021,"Sell","-147","9.8900","-1453.8300","19.9500","1.8100","115592690","-1433.8800"
"AKO","AKORA RESOURCES FPO (ORDINARY FULLY PAID)",16/04/2021,"Buy","2777","0.3600","999.7200","10.0000","0.9100","117045484","1009.7200"
"AKO","AKORA RESOURCES FPO (ORDINARY FULLY PAID)",20/04/2021,"Buy","3333","0.3000","999.9000","10.0000","0.9100","117188961","1009.9000"
"ANZ","ANZ BANKING GRP LTD FPO (ORDINARY FULLY PAID)",15/01/2021,"Sell","-167","24.9000","-4158.3000","19.9500","1.8100","111928315","-4138.3500"
"ARE","ARGONAUT RESOURCES FPO (ORDINARY FULLY PAID)",18/09/2020,"Sell","-220000","0.0060","-1320.0000","19.9500","1.8100","106441708","-1300.0500"
"AZI","ALTA ZINC LTD FPO (ORDINARY FULLY PAID)",23/11/2020,"Sell","-725000","0.0060","-4350.0000","19.9500","1.8100","109549052","-4330.0500"
"BLG","BLUGLASS LIMITED FPO (ORDINARY FULLY PAID)",08/07/2020,"Buy","27941","0.0350","977.9400","10.0000","0.9100","102686291","987.9400"
"BLG","BLUGLASS LIMITED FPO (ORDINARY FULLY PAID)",09/07/2020,"Buy","19000","0.0400","760.0000","10.0000","0.9100","102752960","770.0000"
"BLG","BLUGLASS LIMITED FPO (ORDINARY FULLY PAID)",20/07/2020,"Buy","9122","0.0570","519.9500","10.0000","0.9100","103218580","529.9500"
"BLG","BLUGLASS LIMITED FPO (ORDINARY FULLY PAID)",25/03/2021,"Sell","-13000","0.0840","-1092.0000","19.9500","1.8100","116192853","-1072.0500"
"BLG","BLUGLASS LIMITED FPO (ORDINARY FULLY PAID)",26/03/2021,"Sell","-43063","0.0819","-3524.7100","0.0000","0.0000","116229636","-3524.7100"
"BXN","BIOXYNE LTD FPO (ORDINARY FULLY PAID)",10/03/2021,"Buy","181818","0.0110","2000.0000","19.9500","1.8100","115410349","2019.9500"
"BXN","BIOXYNE LTD FPO (ORDINARY FULLY PAID)",24/03/2021,"Buy","83333","0.0120","1000.0000","10.0000","0.9100","116099359","1010.0000"
"CDT","CASTLE MINERALS FPO (ORDINARY FULLY PAID)",16/03/2021,"Buy","209090","0.0110","2299.9900","19.9500","1.8100","115686849","2319.9400"
"CDT","CASTLE MINERALS FPO (ORDINARY FULLY PAID)",23/03/2021,"Buy","66666","0.0150","999.9900","10.0000","0.9100","116032207","1009.9900"
"CDT","CASTLE MINERALS FPO (ORDINARY FULLY PAID)",25/03/2021,"Buy","76923","0.0130","1000.0000","10.0000","0.9100","116130091","1010.0000"
"CDT","CASTLE MINERALS FPO (ORDINARY FULLY PAID)",30/03/2021,"Buy","200000","0.0110","2200.0000","19.9500","1.8100","116361614","2219.9500"
"CE1","CALIMA ENERGY FPO (ORDINARY FULLY PAID)",05/11/2020,"Buy","103333","0.0060","620.0000","10.0000","0.9100","108743398","630.0000"
"CE1","CALIMA ENERGY FPO (ORDINARY FULLY PAID)",08/12/2020,"Buy","142714","0.0070","999.0000","10.0000","0.9100","110300600","1009.0000"
"CFO","CFOAM LIMITED FPO (ORDINARY FULLY PAID)",24/12/2020,"Buy","25615","0.0390","998.9900","10.0000","0.9100","111107694","1008.9900"
"CFO","CFOAM LIMITED FPO (ORDINARY FULLY PAID)",12/01/2021,"Buy","31218","0.0320","998.9800","10.0000","0.9100","111707803","1008.9800"
"CFO","CFOAM LIMITED FPO (ORDINARY FULLY PAID)",15/01/2021,"Buy","64516","0.0310","2000.0000","19.9500","1.8100","111899187","2019.9500"
"CFO","CFOAM LIMITED FPO (ORDINARY FULLY PAID)",29/01/2021,"Buy","32258","0.0310","1000.0000","10.0000","0.9100","112820369","1010.0000"
"CFO","CFOAM LIMITED FPO (ORDINARY FULLY PAID)",12/05/2021,"Buy","55555","0.0180","999.9900","10.0000","0.9100","118165070","1009.9900"
"CHK","COHIBA MIN LTD FPO (ORDINARY FULLY PAID)",18/09/2020,"Sell","-200000","0.0160","-3200.0000","19.9500","1.8100","106448878","-3180.0500"
"CHK","COHIBA MIN LTD FPO (ORDINARY FULLY PAID)",07/10/2020,"Sell","-200000","0.0130","-2600.0000","19.9500","1.8100","107263361","-2580.0500"
"CHK","COHIBA MIN LTD FPO (ORDINARY FULLY PAID)",11/03/2021,"Sell","-203587","0.0180","-3664.5700","19.9500","1.8100","115468893","-3644.6200"
"CPT","CIPHERPOINT LIMITED FPO (ORDINARY FULLY PAID)",25/09/2020,"Buy","16071","0.0560","899.9800","10.0000","0.9100","106759236","909.9800"
"CPT","CIPHERPOINT LIMITED FPO (ORDINARY FULLY PAID)",28/09/2020,"Buy","17647","0.0510","900.0000","10.0000","0.9100","106812284","910.0000"
"CPT","CIPHERPOINT LIMITED FPO (ORDINARY FULLY PAID)",28/10/2020,"Buy","19565","0.0460","899.9900","10.0000","0.9100","108371653","909.9900"
"CPT","CIPHERPOINT LIMITED FPO (ORDINARY FULLY PAID)",02/11/2020,"Buy","24146","0.0410","989.9900","10.0000","0.9100","108552162","999.9900"
"CPT","CIPHERPOINT LIMITED FPO (ORDINARY FULLY PAID)",13/11/2020,"Buy","25615","0.0390","998.9900","10.0000","0.9100","109150978","1008.9900"
"CPT","CIPHERPOINT LIMITED FPO (ORDINARY FULLY PAID)",08/12/2020,"Buy","21717","0.0460","998.9800","10.0000","0.9100","110275380","1008.9800"
"CPT","CIPHERPOINT LIMITED FPO (ORDINARY FULLY PAID)",14/12/2020,"Buy","42975","0.0540","2320.6500","19.9500","1.8100","110622084","2340.6000"
"CPT","CIPHERPOINT LIMITED FPO (ORDINARY FULLY PAID)",14/12/2020,"Buy","51421","0.0560","2879.5800","19.9500","1.8100","110621531","2899.5300"
"CPT","CIPHERPOINT LIMITED FPO (ORDINARY FULLY PAID)",22/12/2020,"Buy","50000","0.0460","2300.0000","19.9500","1.8100","111002645","2319.9500"
"CPT","CIPHERPOINT LIMITED FPO (ORDINARY FULLY PAID)",16/03/2021,"Buy","21739","0.0460","999.9900","10.0000","0.9100","115710095","1009.9900"
"CPT","CIPHERPOINT LIMITED FPO (ORDINARY FULLY PAID)",23/03/2021,"Buy","51627","0.0440","2271.5900","19.9500","1.8100","116042022","2291.5400"
"CPT","CIPHERPOINT LIMITED FPO (ORDINARY FULLY PAID)",23/04/2021,"Buy","15277","0.0360","549.9700","10.0000","0.9100","117394802","559.9700"
"CPT","CIPHERPOINT LIMITED FPO (ORDINARY FULLY PAID)",03/05/2021,"Buy","18965","0.0280","531.0200","10.0000","0.9100","117756033","541.0200"
"CPT","CIPHERPOINT LIMITED FPO (ORDINARY FULLY PAID)",11/05/2021,"Buy","26000","0.0250","650.0000","10.0000","0.9100","118117144","660.0000"
"CPT","CIPHERPOINT LIMITED FPO (ORDINARY FULLY PAID)",18/06/2021,"Buy","28333","0.0240","679.9900","10.0000","0.9100","119571472","689.9900"
"CTM","CENTAURUS METALS LTD FPO (ORDINARY FULLY PAID)",18/05/2021,"Buy","802","0.6850","549.3700","10.0000","0.9100","118439082","559.3700"
"CXZ","CONNEXION TELEMATICS FPO (ORDINARY FULLY PAID)",09/09/2020,"Buy","100000","0.0190","1900.0000","19.9500","1.8100","105955234","1919.9500"
"CXZ","CONNEXION TELEMATICS FPO (ORDINARY FULLY PAID)",23/09/2020,"Buy","53333","0.0180","959.9900","10.0000","0.9100","106605551","969.9900"
"CXZ","CONNEXION TELEMATICS FPO (ORDINARY FULLY PAID)",25/09/2020,"Sell","-153333","0.0180","-2759.9900","19.9500","1.8100","106781565","-2740.0400"
"DOU","DOUUGH LIMITED FPO (ORDINARY FULLY PAID)",16/10/2020,"Buy","3846","0.2650","1019.1900","19.9500","1.8100","107714532","1039.1400"
"DOU","DOUUGH LIMITED FPO (ORDINARY FULLY PAID)",19/10/2020,"Buy","3015","0.3150","949.7300","10.0000","0.9100","107792324","959.7300"
"DOU","DOUUGH LIMITED FPO (ORDINARY FULLY PAID)",27/10/2020,"Buy","2615","0.2600","679.9000","10.0000","0.9100","108248591","689.9000"
"DOU","DOUUGH LIMITED FPO (ORDINARY FULLY PAID)",29/10/2020,"Buy","10196","0.2500","2549.0000","19.9500","1.8100","108386612","2568.9500"
"DOU","DOUUGH LIMITED FPO (ORDINARY FULLY PAID)",02/11/2020,"Buy","9000","0.2550","2295.0000","19.9500","1.8100","108536093","2314.9500"
"DOU","DOUUGH LIMITED FPO (ORDINARY FULLY PAID)",06/11/2020,"Buy","3444","0.2900","998.7600","10.0000","0.9100","108785313","1008.7600"
"DOU","DOUUGH LIMITED FPO (ORDINARY FULLY PAID)",06/11/2020,"Buy","6666","0.3000","1999.8000","19.9500","1.8100","108773799","2019.7500"
"DOU","DOUUGH LIMITED FPO (ORDINARY FULLY PAID)",25/11/2020,"Buy","3666","0.2700","989.8200","10.0000","0.9100","109687370","999.8200"
"DOU","DOUUGH LIMITED FPO (ORDINARY FULLY PAID)",25/11/2020,"Buy","3567","0.2800","998.7600","10.0000","0.9100","109679512","1008.7600"
"DOU","DOUUGH LIMITED FPO (ORDINARY FULLY PAID)",07/12/2020,"Buy","4162","0.2400","998.8800","10.0000","0.9100","110242747","1008.8800"
"DOU","DOUUGH LIMITED FPO (ORDINARY FULLY PAID)",09/12/2020,"Buy","10000","0.2200","2200.0000","19.9500","1.8100","110382647","2219.9500"
"DOU","DOUUGH LIMITED FPO (ORDINARY FULLY PAID)",26/03/2021,"Sell","-60177","0.1700","-10230.0900","29.9500","2.7200","116243137","-10200.1400"
"DRX","DIATREME RESOURCES FPO (ORDINARY FULLY PAID)",18/11/2020,"Buy","71357","0.0140","999.0000","10.0000","0.9100","109344499","1009.0000"
"DRX","DIATREME RESOURCES FPO (ORDINARY FULLY PAID)",17/03/2021,"Buy","90166","0.0260","2344.3200","19.9500","1.8100","115748417","2364.2700"
"DRX","DIATREME RESOURCES FPO (ORDINARY FULLY PAID)",24/03/2021,"Buy","43478","0.0230","999.9900","10.0000","0.9100","116088883","1009.9900"
"DRX","DIATREME RESOURCES FPO (ORDINARY FULLY PAID)",24/03/2021,"Buy","91666","0.0240","2199.9800","19.9500","1.8100","116075820","2219.9300"
"EOS","ELECTRO OPTIC SYS. FPO (ORDINARY FULLY PAID)",08/09/2020,"Buy","108","5.5300","597.2400","10.0000","0.9100","105857194","607.2400"
"EOS","ELECTRO OPTIC SYS. FPO (ORDINARY FULLY PAID)",15/03/2021,"Sell","-108","5.4200","-585.3600","10.0000","0.9100","115594574","-575.3600"
"GED","GOLDEN DEEPS FPO (ORDINARY FULLY PAID)",27/01/2021,"Buy","216666","0.0110","2383.3300","19.9500","1.8100","112509953","2403.2800"
"GED","GOLDEN DEEPS FPO (ORDINARY FULLY PAID)",28/01/2021,"Buy","200000","0.0110","2200.0000","19.9500","1.8100","112697861","2219.9500"
"GED","GOLDEN DEEPS FPO (ORDINARY FULLY PAID)",25/02/2021,"Buy","83333","0.0120","1000.0000","10.0000","0.9100","114679250","1010.0000"
"GED","GOLDEN DEEPS FPO (ORDINARY FULLY PAID)",05/03/2021,"Buy","220000","0.0100","2200.0000","19.9500","1.8100","115220335","2219.9500"
"GML","GATEWAY MINING FPO (ORDINARY FULLY PAID)",31/07/2020,"Buy","31052","0.0190","589.9900","10.0000","0.9100","103775163","599.9900"
"GMR","GOLDEN RIM RESOURCES FPO (ORDINARY FULLY PAID)",25/03/2021,"Buy","244444","0.0090","2200.0000","19.9500","1.8100","116159456","2219.9500"
"GMR","GOLDEN RIM RESOURCES FPO (ORDINARY FULLY PAID)",22/04/2021,"Buy","45833","0.0120","550.0000","10.0000","0.9100","117337393","560.0000"
"GMR","GOLDEN RIM RESOURCES FPO (ORDINARY FULLY PAID)",23/04/2021,"Buy","100000","0.0110","1100.0000","19.9500","1.8100","117380329","1119.9500"
"GMR","GOLDEN RIM RESOURCES FPO (ORDINARY FULLY PAID)",30/04/2021,"Buy","50000","0.0110","550.0000","10.0000","0.9100","117662219","560.0000"
"GMR","GOLDEN RIM RESOURCES FPO (ORDINARY FULLY PAID)",13/05/2021,"Buy","55000","0.0100","550.0000","10.0000","0.9100","118284482","560.0000"
"GMR","GOLDEN RIM RESOURCES FPO (ORDINARY FULLY PAID)",15/06/2021,"Buy","59000","0.0100","590.0000","10.0000","0.9100","119440153","600.0000"
"GMR","GOLDEN RIM RESOURCES FPO (ORDINARY FULLY PAID)",30/06/2021,"Buy","125000","0.0080","1000.0000","10.0000","0.9100","120067912","1010.0000"
"GNM","GREAT NORTHERN FPO (ORDINARY FULLY PAID)",26/03/2021,"Buy","90909","0.0100","909.0900","10.0000","0.9100","116253293","919.0900"
"GNM","GREAT NORTHERN FPO (ORDINARY FULLY PAID)",12/05/2021,"Buy","111111","0.0090","1000.0000","10.0000","0.9100","118184057","1010.0000"
"IAG","INSURANCE AUSTRALIA FPO (ORDINARY FULLY PAID)",26/03/2021,"Sell","-423","4.7900","-2026.1700","19.9500","1.8100","116227710","-2006.2200"
"IOU","IOUPAY LIMITED FPO (ORDINARY FULLY PAID)",02/02/2021,"Buy","14193","0.1550","2199.9200","19.9500","1.8100","113022545","2219.8700"
"IOZ","ISHARES S&P/ASX 200. ETF UNITS (ISHARES CORE S&P/ASX 200 ETF)",15/03/2021,"Sell","-253","28.2800","-7154.8400","19.9500","1.8100","115591529","-7134.8900"
"JMS","JUPITER MINES. FPO (ORDINARY FULLY PAID)",02/07/2020,"Buy","2444","0.2700","659.8800","10.0000","0.9100","102432703","669.8800"
"JMS","JUPITER MINES. FPO (ORDINARY FULLY PAID)",15/07/2020,"Buy","3296","0.2700","889.9200","10.0000","0.9100","103021122","899.9200"
"JMS","JUPITER MINES. FPO (ORDINARY FULLY PAID)",19/08/2020,"Buy","2965","0.2800","830.2000","10.0000","0.9100","104678031","840.2000"
"JMS","JUPITER MINES. FPO (ORDINARY FULLY PAID)",09/09/2020,"Buy","7692","0.2600","1999.9200","19.9500","1.8100","105960861","2019.8700"
"JMS","JUPITER MINES. FPO (ORDINARY FULLY PAID)",08/12/2020,"Buy","3567","0.2800","998.7600","10.0000","0.9100","110298391","1008.7600"
"JMS","JUPITER MINES. FPO (ORDINARY FULLY PAID)",01/02/2021,"Buy","7586","0.2900","2199.9400","19.9500","1.8100","112886596","2219.8900"
