Code,Company,Date,Type,Quantity,Unit Price ($),Trade Value ($),Brokerage+GST ($),GST ($),Contract Note,Total Value ($)
"4DS","4DS MEMORY LIMITED FPO (ORDINARY FULLY PAID)",01/02/2019,"Buy","31250","0.0640","2000.0000","19.9500","1.8100","88236242","2019.9500"
"4DS","4DS MEMORY LIMITED FPO (ORDINARY FULLY PAID)",20/02/2019,"Buy","52666","0.0770","4055.2800","19.9500","1.8100","88554556","4075.2300"
"4DS","4DS MEMORY LIMITED FPO (ORDINARY FULLY PAID)",31/05/2019,"Buy","8750","0.0640","560.0000","10.0000","0.9100","90346315","570.0000"
"4DS","4DS MEMORY LIMITED FPO (ORDINARY FULLY PAID)",19/06/2019,"Buy","8524","0.0610","519.9600","10.0000","0.9100","90680753","529.9600"
"AGL","AGL ENERGY LIMITED. FPO (ORDINARY FULLY PAID)",18/01/2019,"Buy","144","20.9100","3011.0400","11.0000","1.0000","88038170","3022.0400"
"ANZ","ANZ BANKING GRP LTD FPO (ORDINARY FULLY PAID)",18/01/2019,"Buy","115","26.1100","3002.6500","11.0000","1.0000","88038173","3013.6500"
"ARU","ARAFURA RESOURCE LTD FPO (ORDINARY FULLY PAID)",01/04/2019,"Buy","12500","0.0560","700.0000","10.0000","0.9100","89249400","710.0000"
"AUZ","AUSTRALIAN MINES LTD FPO (ORDINARY FULLY PAID)",21/02/2019,"Buy","54054","0.0360","1945.9400","19.9500","1.8100","88571904","1965.8900"
"AVL","AUST VANADIUM LTD FPO (ORDINARY FULLY PAID)",13/02/2019,"Buy","97619","0.0240","2342.8600","19.9500","1.8100","88432079","2362.8100"
"BHP","BHP GROUP LIMITED FPO (ORDINARY FULLY PAID)",18/01/2019,"Buy","90","33.2000","2988.0000","11.0000","1.0000","88038172","2999.0000"
"BHP","BHP GROUP LIMITED FPO (ORDINARY FULLY PAID)",08/05/2019,"Sell","-91","36.8900","-3356.9900","19.9500","1.8100","89870650","-3337.0400"
"BUD","BUDDY PLATFORM LTD FPO (ORDINARY FULLY PAID)",11/02/2019,"Buy","11904","0.0880","1047.5500","19.9500","1.8100","88378521","1067.5000"
"BUD","BUDDY PLATFORM LTD FPO (ORDINARY FULLY PAID)",13/02/2019,"Buy","24691","0.0810","1999.9700","19.9500","1.8100","88420441","2019.9200"
"BUD","BUDDY TECH FPO (ORDINARY FULLY PAID)",13/05/2019,"Sell","-36595","0.0632","-2314.5100","19.9500","1.8100","89952126","-2294.5600"
"CE1","CALIMA ENERGY FPO (ORDINARY FULLY PAID)",26/03/2019,"Buy","13043","0.0460","599.9800","10.0000","0.9100","89167933","609.9800"
"CE1","CALIMA ENERGY FPO (ORDINARY FULLY PAID)",02/04/2019,"Buy","16363","0.0440","719.9700","10.0000","0.9100","89283918","729.9700"
"CHK","COHIBA MIN LTD FPO (ORDINARY FULLY PAID)",11/03/2019,"Buy","63636","0.0110","700.0000","10.0000","0.9100","88893204","710.0000"
"CHK","COHIBA MIN LTD FPO (ORDINARY FULLY PAID)",14/05/2019,"Buy","265000","0.0090","2385.0000","19.9500","1.8100","89970582","2404.9500"
"DRX","DIATREME RESOURCES FPO (ORDINARY FULLY PAID)",02/05/2019,"Buy","63636","0.0110","700.0000","10.0000","0.9100","89759940","710.0000"
"ELK","ELK PETROLEUM FPO (ORDINARY FULLY PAID)",19/02/2019,"Buy","58823","0.0170","999.9900","10.0000","0.9100","88516504","1009.9900"
"GML","GATEWAY MINING FPO (ORDINARY FULLY PAID)",04/04/2019,"Buy","44166","0.0120","529.9900","10.0000","0.9100","89335965","539.9900"
"GXY","GALAXY RESOURCES FPO (ORDINARY FULLY PAID)",12/02/2019,"Buy","2083","1.9200","3999.3600","19.9500","1.8100","88397329","4019.3100"
"GXY","GALAXY RESOURCES FPO (ORDINARY FULLY PAID)",27/03/2019,"Buy","105","1.8900","198.4500","10.0000","0.9100","89179974","208.4500"
"GXY","GALAXY RESOURCES FPO (ORDINARY FULLY PAID)",23/04/2019,"Sell","-2188","1.5950","-3489.8600","19.9500","1.8100","89597731","-3469.9100"
"IAG","INSURANCE AUSTRALIA FPO (ORDINARY FULLY PAID)",18/01/2019,"Buy","417","7.2000","3002.4000","11.0000","1.0000","88038169","3013.4000"
"IOZ","ISHARES S&P/ASX 200. ETF UNITS (EXCHANGE TRADED FUND UNITS FULLY PAID)",08/02/2019,"Buy","253","24.8700","6292.1100","19.9500","1.8100","88359342","6312.0600"
"MLX","METALS X LIMITED FPO (ORDINARY FULLY PAID)",02/05/2019,"Buy","3769","0.2600","979.9400","10.0000","0.9100","89764642","989.9400"
"MLX","METALS X LIMITED FPO (ORDINARY FULLY PAID)",06/05/2019,"Sell","-3769","0.2550","-961.1000","10.0000","0.9100","89822525","-951.1000"
"NVA","NOVA MINERALS LTD FPO (ORDINARY FULLY PAID)",27/02/2019,"Buy","142857","0.0140","2000.0000","19.9500","1.8100","88692791","2019.9500"
"NVA","NOVA MINERALS LTD FPO (ORDINARY FULLY PAID)",24/05/2019,"Buy","34666","0.0150","519.9900","10.0000","0.9100","90204544","529.9900"
"PUA","PURE ALUMINA LIMITED FPO (ORDINARY FULLY PAID)",12/02/2019,"Buy","37777","0.0360","1359.9700","19.9500","1.8100","88404791","1379.9200"
"PUA","PURE ALUMINA LIMITED FPO (ORDINARY FULLY PAID)",27/03/2019,"Buy","14285","0.0350","499.9800","10.0000","0.9100","89193829","509.9800"
"PUA","PURE ALUMINA LIMITED FPO (ORDINARY FULLY PAID)",23/04/2019,"Buy","30000","0.0300","900.0000","10.0000","0.9100","89598904","910.0000"
"PUA","PURE ALUMINA LIMITED FPO (ORDINARY FULLY PAID)",30/05/2019,"Buy","15294","0.0340","520.0000","10.0000","0.9100","90319909","530.0000"
"SDV","SCIDEV LTD FPO (ORDINARY FULLY PAID)",14/02/2019,"Buy","8415","0.0840","706.8600","10.0000","0.9100","88461620","716.8600"
"SLX","SILEX SYSTEMS FPO (ORDINARY FULLY PAID)",08/02/2019,"Buy","8695","0.2200","1912.9000","19.9500","1.8100","88367055","1932.8500"
"SUD","SUDA PHARMACEUTICALS FPO (ORDINARY FULLY PAID)",06/06/2019,"Buy","188000","0.0050","940.0000","10.0000","0.9100","90471206","950.0000"
"THC","THC GLOBAL GRP LTD FPO (ORDINARY FULLY PAID)",15/02/2019,"Buy","5325","0.5500","2928.7500","19.9500","1.8100","88472855","2948.7000"
"TLS","TELSTRA CORPORATION. FPO (ORDINARY FULLY PAID)",18/01/2019,"Buy","1028","2.9250","3006.9000","11.0000","1.0000","88038171","3017.9000"
"VIC","VICTORY MINES LTD FPO (ORDINARY FULLY PAID)",19/06/2019,"Buy","500000","0.0020","1000.0000","10.0000","0.9100","90677367","1010.0000"
"WBT","WEEBIT NANO LTD FPO (ORDINARY FULLY PAID)",11/02/2019,"Buy","150000","0.0250","3750.0000","19.9500","1.8100","88390243","3769.9500"
