"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"14D","1414 DEGREES LIMITED","2018-09-12","Capital Goods",25038807
"1AD","ADALTA LIMITED","2016-08-22","Pharmaceuticals, Biotechnology & Life Sciences",28195651
"1AG","ALTERRA LIMITED","2008-05-16","Commercial & Professional Services",12685709
"1ST","1ST GROUP LIMITED","2015-06-09","Health Care Equipment & Services",9341572
"29M","29METALS LIMITED","2021-07-02","Materials",1057001000
"2BE","TUBI LIMITED","2019-06-14","Energy","N/A"
"360","LIFE360 INC.","2019-05-10","Software & Services",1285460760
"3DA","AMAERO INTERNATIONAL LTD","2019-12-06","Capital Goods",121210946
"3DP","POINTERRA LIMITED","2008-03-27","Software & Services",321957947
"3MF","3D METALFORGE LIMITED","2021-03-02","Commercial & Professional Services",28517893
"3PL","3P LEARNING LIMITED..","2014-07-09","Consumer Services",346987633
"4DS","4DS MEMORY LIMITED","2010-12-09","Semiconductors & Semiconductor Equipment",191537524
"4DX","4DMEDICAL LIMITED","2020-08-07","Health Care Equipment & Services",416705949
"5GG","PENTANET LIMITED","2021-01-29","Telecommunication Services",175404639
"5GN","5G NETWORKS LIMITED","2017-11-17","Telecommunication Services",107405456
"88E","88 ENERGY LIMITED","2000-01-20","Energy",446970072
"8CO","8COMMON LIMITED","2014-08-27","Software & Services",22056073
"8EC","8IP EMERGING COMPANIES LIMITED","2015-12-01","Not Applic","N/A"
"8IH","8I HOLDINGS LTD","2014-12-17","Diversified Financials",86822182
"8VI","8VI HOLDINGS LIMITED","2015-12-16","Consumer Services",228821879
"92E","92 ENERGY LIMITED","2021-04-15","Energy",17869950
"99L","99 LOYALTY LIMITED.","2013-10-08","Software & Services",69580966
"9SP","9 SPOKES INTERNATIONAL LIMITED","2016-06-09","Software & Services",25386733
"A1G","AFRICAN GOLD LTD.","2019-02-14","Materials",20566765
"A1M","AIC MINES LIMITED","1993-11-04","Materials",18553055
"A2B","A2B AUSTRALIA LIMITED","1999-12-14","Transportation",152946967
"A2M","THE A2 MILK COMPANY LIMITED","2015-03-31","Food, Beverage & Tobacco",5166704991
"A3D","AURORA LABS LIMITED","2016-08-16","Capital Goods",11161442
"A4N","ALPHA HPA LIMITED","2007-10-22","Materials",392181061
"A8G","AUSTRALASIAN GOLD LIMITED","2021-05-13","Materials",5923442
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","2001-08-10","Food, Beverage & Tobacco",840859612
"AAJ","ARUMA RESOURCES LIMITED","2010-07-23","Materials",5933844
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","2004-01-07","Food, Beverage & Tobacco",9761332
"AAR","ANGLO AUSTRALIAN RESOURCES NL","1986-11-13","Materials",46501981
"AAU","ANTILLES GOLD LIMITED","1993-11-25","Materials",18424367
"ABA","AUSWIDE BANK LTD","1994-09-19","Banks",267474889
"ABB","AUSSIE BROADBAND LIMITED","2020-10-16","Class Pend",517724871
"ABC","ADBRI LIMITED","1962-05-31","Materials",2231986238
"ABL","ABILENE OIL AND GAS LIMITED","1974-01-01","Energy","N/A"
"ABP","ABACUS PROPERTY GROUP","2002-11-14","Real Estate",2594935004
"ABR","AMERICAN PACIFIC BORATES LIMITED","2017-07-28","Materials",546802558
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","2002-05-28","Automobiles & Components",15924248
"ABX","AUSTRALIAN BAUXITE LIMITED.","2009-12-24","Materials",18180431
"ABY","ADORE BEAUTY GROUP LIMITED","2020-10-23","Retailing",464975015
"AC8","AUSCANN GROUP HOLDINGS LTD","1989-05-03","Pharmaceuticals, Biotechnology & Life Sciences",46257447
"ACB","A-CAP ENERGY LIMITED","2006-05-19","Energy",48825552
